temperature_c,cpu_usage_pct,memory_usage_pct,disk_io_mb_s,network_traffic_mb_s,power_consumption_w,latency_ms,error_rate_pct,failure
49.13,48.46,47.38,140.77,349.77,146.69,26.54,1.267,0
36.92,27.34,27.89,53.38,215.04,134.22,17.58,1.132,0
49.32,52.22,68.41,127.15,347.75,178.5,33.35,2.294,0
55.55,40.67,42.28,96.12,154.3,163.15,25.9,1.784,0
47.0,39.37,41.07,58.61,190.79,147.44,14.89,1.466,0
65.05,71.14,67.83,127.29,351.35,217.03,31.99,2.092,0
49.96,48.39,41.64,52.53,122.46,172.7,13.3,1.954,0
51.62,53.52,44.4,150.19,169.91,174.99,15.49,1.891,0
46.88,37.41,45.35,63.3,190.9,154.74,25.49,2.083,0
56.25,44.58,66.3,110.22,253.07,173.67,22.18,1.911,0
46.98,39.26,43.59,116.43,169.17,164.58,29.79,1.358,0
46.7,46.11,62.6,102.63,256.09,158.25,24.92,2.41,0
53.27,60.38,46.14,114.13,346.37,181.34,25.63,1.453,0
49.73,43.26,36.2,132.01,222.11,158.77,25.4,2.174,0
53.72,49.94,50.96,92.35,327.31,187.15,19.13,1.595,0
51.61,43.64,43.64,118.8,279.18,166.75,16.22,1.375,0
65.31,56.95,64.33,189.83,402.93,215.07,53.86,4.111,1
48.15,45.03,41.27,72.51,346.11,161.52,25.83,2.053,0
57.12,41.38,42.56,95.07,336.99,182.7,19.96,1.458,0
65.44,75.52,76.17,131.1,408.75,214.38,32.63,2.973,0
53.92,61.86,61.21,133.06,315.89,184.35,35.48,2.482,0
46.51,31.86,34.79,84.72,179.46,154.52,18.89,1.331,0
67.25,48.98,75.86,198.96,439.7,186.87,44.74,4.004,1
76.63,65.38,86.84,193.44,581.38,227.83,55.26,4.723,1
51.0,46.88,57.83,93.03,260.86,170.98,20.32,1.928,0
50.97,45.63,63.84,74.99,283.55,173.76,29.51,1.56,0
70.1,61.18,45.93,148.9,317.19,222.16,43.04,4.069,1
45.44,41.54,43.9,78.78,161.29,169.74,21.24,1.818,0
49.35,43.05,44.79,85.62,191.71,144.84,19.46,0.647,0
46.48,39.27,62.98,109.69,300.54,154.8,23.06,2.373,0
48.24,36.14,64.03,88.97,226.26,161.46,17.4,1.774,0
75.9,76.19,61.4,150.74,346.69,231.16,52.78,3.499,1
58.4,48.1,48.96,142.87,320.33,210.64,31.06,3.427,1
37.09,19.51,34.48,43.69,132.72,122.76,22.57,1.364,0
80.89,75.47,81.52,190.73,757.81,254.43,56.12,3.81,1
63.87,65.26,66.98,117.45,336.28,194.76,24.33,1.419,0
43.93,29.79,44.07,74.48,130.26,133.29,14.86,1.42,0
49.58,47.23,47.54,107.75,145.09,194.94,16.11,1.887,0
55.65,35.33,39.81,80.48,210.73,141.69,20.38,1.333,0
49.92,50.56,68.11,157.64,335.59,179.11,24.03,2.063,0
38.49,24.75,34.28,56.43,243.42,159.36,7.86,1.829,0
43.6,28.64,37.64,126.49,258.22,151.98,13.95,1.559,0
58.45,46.59,57.97,133.28,282.5,176.45,16.45,1.58,0
50.4,57.3,41.17,73.65,280.48,173.8,19.93,1.654,0
46.97,43.02,40.96,111.57,278.89,141.6,18.85,1.596,0
45.43,36.84,35.9,81.01,202.7,148.55,25.9,1.041,0
47.53,39.3,53.29,114.72,216.31,158.75,23.41,0.801,0
70.95,56.48,56.22,147.35,328.38,213.58,42.22,3.676,1
55.14,60.09,64.13,145.51,296.56,189.19,36.78,2.081,0
66.42,59.45,53.28,137.13,303.42,232.81,31.53,2.89,1
46.67,38.22,23.13,60.48,166.1,174.41,19.15,1.193,0
51.52,44.13,38.3,85.69,202.57,172.03,14.57,0.528,0
44.95,38.5,38.45,71.33,110.71,158.09,27.23,1.425,0
71.54,65.41,85.2,240.59,544.75,228.56,52.16,5.106,1
38.96,31.74,52.06,88.6,170.72,157.53,19.13,0.813,0
68.34,63.32,64.71,167.11,330.69,209.48,51.26,3.574,1
47.55,37.77,39.88,99.82,162.34,161.56,32.14,1.854,0
70.3,82.98,61.04,196.55,557.01,236.38,47.63,4.06,1
71.86,69.33,73.39,164.69,490.81,213.63,44.52,3.684,1
58.11,53.11,58.34,121.43,374.63,176.84,23.53,1.87,0
53.14,50.95,46.27,82.53,327.97,187.44,23.56,2.167,0
52.27,42.45,25.76,95.13,294.27,171.76,22.16,1.721,0
54.97,53.41,82.7,161.83,417.7,160.35,28.42,1.973,0
37.27,25.95,40.34,96.75,111.73,142.43,21.5,0.872,0
60.94,67.66,63.49,148.24,373.56,189.78,33.63,2.529,0
82.02,78.03,100.0,259.24,562.13,218.05,58.71,4.632,1
75.02,70.21,59.98,147.17,432.23,231.73,41.07,3.027,1
51.55,53.49,59.51,136.45,265.59,186.42,21.23,1.421,0
53.03,41.71,41.38,77.39,167.97,173.44,28.46,2.209,0
57.51,60.21,65.97,133.05,361.14,208.0,24.14,2.846,0
52.68,62.65,56.54,92.83,294.54,189.53,26.38,2.221,0
44.66,53.2,58.94,129.17,271.57,179.75,21.97,2.225,0
62.01,66.59,68.78,160.62,491.32,219.67,30.23,2.318,0
48.79,50.97,56.23,120.98,296.51,169.88,22.79,0.898,0
81.43,74.35,93.19,227.32,652.95,238.84,63.84,5.022,1
43.85,33.58,39.54,65.79,150.42,158.61,11.36,1.703,0
58.85,70.84,64.83,145.04,486.35,194.64,29.01,1.827,0
54.66,54.99,56.43,115.07,313.72,178.07,23.87,2.129,0
51.83,52.11,52.95,125.24,198.9,174.65,20.6,1.585,0
59.29,67.29,69.28,138.72,344.91,193.71,30.14,2.025,0
56.32,48.16,53.24,98.64,222.16,219.88,32.6,1.989,1
51.6,37.93,28.97,67.19,186.62,158.48,16.76,1.177,0
43.24,38.27,57.36,52.75,219.1,158.68,28.17,2.346,0
52.65,57.13,33.94,125.25,307.59,188.8,16.61,0.906,0
54.81,47.85,54.39,131.81,273.13,165.73,15.3,1.259,0
76.61,78.02,66.4,180.01,479.82,222.06,47.14,3.751,1
50.92,41.79,40.06,99.86,240.83,162.69,20.94,1.438,0
46.3,62.92,51.05,127.49,404.59,169.68,23.34,1.283,0
60.3,66.62,55.15,99.73,368.9,193.75,29.34,2.007,0
49.16,36.31,52.13,122.87,299.96,168.04,25.33,1.6,0
50.53,53.83,56.22,113.58,344.89,159.52,26.74,2.648,0
53.03,55.56,61.61,101.91,374.24,186.38,31.96,1.555,0
46.74,37.9,43.48,133.75,264.73,175.81,12.79,1.031,0
78.9,73.39,76.75,217.85,431.73,215.9,68.24,4.651,1
48.4,43.93,47.38,141.18,316.4,153.8,30.41,1.771,0
41.55,33.83,43.29,93.07,182.86,144.24,27.39,1.598,0
61.37,76.06,60.33,177.32,466.28,222.41,30.39,2.707,0
72.17,67.12,77.62,166.7,487.03,216.33,42.16,3.622,1
65.24,47.15,63.92,184.72,246.96,205.54,39.85,3.328,1
50.76,54.81,69.07,110.83,268.28,183.06,20.98,1.429,0
49.35,41.43,56.72,121.22,280.4,161.66,12.95,1.615,0
49.34,43.39,52.7,97.76,290.56,156.32,23.77,1.492,0
42.04,42.89,46.96,154.12,376.67,149.87,21.05,1.67,0
73.18,62.37,73.07,201.03,607.92,210.74,56.9,4.347,1
